"Job Title","Date","float_Billable_Hours","Capacity"
"Data Scientist  -  Data Science (DDS)",2020-01-03,35,48
"Jr. Data Analyst  -  Data Science (DDS)",2020-01-03,6,8
"Jr. Data Scientist  -  Data Science (DDS)",2020-01-03,0,16
"Jr. Software Developer  -  Business Applications (DDS)",2020-01-03,8,8
"Jr. Software Engineer  -  Business Applications (DDS)",2020-01-03,8,8
"Jr. Web Developer  -  Business Applications (DDS)",2020-01-03,0,16
"Practice Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-01-03,0,8
"Project Coordinator  -  Data & Development Services (DDS) - Solution Delivery",2020-01-03,0,8
"QA Engineer  -  Business Applications (DDS)",2020-01-03,8,24
"Quality Engineer  -  Business Applications (DDS)",2020-01-03,0,16
"Senior BI Developer  -  Business Intelligence (DDS)",2020-01-03,8,8
"Senior DevOps Engineer  -  Business Applications (DDS)",2020-01-03,0,8
"Software Developer  -  Business Applications (DDS)",2020-01-03,0,32
"Software Engineer  -  Business Applications (DDS)",2020-01-03,8,24
"Sr. Consultant  -  Business Applications (DDS)",2020-01-03,0,8
"Sr. Consultant  -  Business Intelligence (DDS)",2020-01-03,0,8
"Sr. Consultant  -  Data & Development Services (DDS) - Solution Delivery",2020-01-03,0,16
"Sr. Consultant  -  Data Architecture (DDS)",2020-01-03,0,8
"Sr. Data Engineer  -  Data Architecture (DDS)",2020-01-03,0,8
"Sr. Data Scientist  -  Data Science (DDS)",2020-01-03,8,24
"Sr. Software Architect  -  Business Applications (DDS)",2020-01-03,6.5,16
"Sr. Software Developer  -  Business Applications (DDS)",2020-01-03,0,8
"Sr. Software Engineer  -  Business Applications (DDS)",2020-01-03,8,24
"Tableau Developer  -  Business Intelligence (DDS)",2020-01-03,4,8
"Technical Delivery Lead  -  Data & Development Services (DDS) - Solution Delivery",2020-01-03,0,8
"Technical Delivery Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-01-03,0,8
"Technical Writer  -  Business Applications (DDS)",2020-01-03,0,8
"Web Developer  -  Business Applications (DDS)",2020-01-03,0,16
"Associate BI Consultant  -  Business Intelligence (DDS)",2020-01-04,0,16
"Associate Consultant  -  Data & Development Services (DDS) - Solution Delivery",2020-01-04,0,8
"BI  Consultant  -  Business Intelligence (DDS)",2020-01-04,0,40
"Business Analyst  -  Business Applications (DDS)",2020-01-04,0,8
"Data Architect  -  Data Architecture (DDS)",2020-01-04,0,32
"Data Engineer  -  Data Architecture (DDS)",2020-01-04,0,88
"Data Science Team Lead  -  Data Science (DDS)",2020-01-04,0,8
"Data Scientist  -  Data Science (DDS)",2020-01-04,0,48
"Jr. Data Analyst  -  Data Science (DDS)",2020-01-04,0,8
"Jr. Data Scientist  -  Data Science (DDS)",2020-01-04,0,16
"Jr. Software Developer  -  Business Applications (DDS)",2020-01-04,0,8
"Jr. Software Engineer  -  Business Applications (DDS)",2020-01-04,0,8
"Jr. Web Developer  -  Business Applications (DDS)",2020-01-04,0,16
"Practice Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-01-04,0,8
"Project Coordinator  -  Data & Development Services (DDS) - Solution Delivery",2020-01-04,0,8
"QA Engineer  -  Business Applications (DDS)",2020-01-04,0,24
"Quality Engineer  -  Business Applications (DDS)",2020-01-04,0,16
"Senior BI Developer  -  Business Intelligence (DDS)",2020-01-04,0,8
"Senior DevOps Engineer  -  Business Applications (DDS)",2020-01-04,0,8
"Software Developer  -  Business Applications (DDS)",2020-01-04,0,32
"Software Engineer  -  Business Applications (DDS)",2020-01-04,0,24
"Sr. Consultant  -  Business Applications (DDS)",2020-01-04,0,8
"Sr. Consultant  -  Business Intelligence (DDS)",2020-01-04,0,8
"Sr. Consultant  -  Data & Development Services (DDS) - Solution Delivery",2020-01-04,0,16
"Sr. Consultant  -  Data Architecture (DDS)",2020-01-04,0,8
"Sr. Data Engineer  -  Data Architecture (DDS)",2020-01-04,0,8
"Sr. Data Scientist  -  Data Science (DDS)",2020-01-04,0,24
"Sr. Software Architect  -  Business Applications (DDS)",2020-01-04,0,16
"Sr. Software Developer  -  Business Applications (DDS)",2020-01-04,0,8
"Sr. Software Engineer  -  Business Applications (DDS)",2020-01-04,0,24
"Tableau Developer  -  Business Intelligence (DDS)",2020-01-04,0,8
"Technical Delivery Lead  -  Data & Development Services (DDS) - Solution Delivery",2020-01-04,0,8
"Technical Delivery Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-01-04,0,8
"Technical Writer  -  Business Applications (DDS)",2020-01-04,0,8
"Web Developer  -  Business Applications (DDS)",2020-01-04,0,16
"Associate BI Consultant  -  Business Intelligence (DDS)",2020-01-05,0,16
"Associate Consultant  -  Data & Development Services (DDS) - Solution Delivery",2020-01-05,0,8
"BI  Consultant  -  Business Intelligence (DDS)",2020-01-05,0,40
"Business Analyst  -  Business Applications (DDS)",2020-01-05,0,8
"Data Architect  -  Data Architecture (DDS)",2020-01-05,0,32
"Data Engineer  -  Data Architecture (DDS)",2020-01-05,0,88
"Data Science Team Lead  -  Data Science (DDS)",2020-01-05,0,8
"Data Scientist  -  Data Science (DDS)",2020-01-05,0,48
"Jr. Data Analyst  -  Data Science (DDS)",2020-01-05,0,8
"Jr. Data Scientist  -  Data Science (DDS)",2020-01-05,0,16
"Jr. Software Developer  -  Business Applications (DDS)",2020-01-05,0,8
"Jr. Software Engineer  -  Business Applications (DDS)",2020-01-05,0,8
"Jr. Web Developer  -  Business Applications (DDS)",2020-01-05,0,16
"Practice Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-01-05,0,8
"Project Coordinator  -  Data & Development Services (DDS) - Solution Delivery",2020-01-05,0,8
"QA Engineer  -  Business Applications (DDS)",2020-01-05,0,24
"Quality Engineer  -  Business Applications (DDS)",2020-01-05,0,16
"Senior BI Developer  -  Business Intelligence (DDS)",2020-01-05,0,8
"Senior DevOps Engineer  -  Business Applications (DDS)",2020-01-05,0,8
"Software Developer  -  Business Applications (DDS)",2020-01-05,0,32
"Software Engineer  -  Business Applications (DDS)",2020-01-05,0,24
"Sr. Consultant  -  Business Applications (DDS)",2020-01-05,0,8
"Sr. Consultant  -  Business Intelligence (DDS)",2020-01-05,0,8
"Sr. Consultant  -  Data & Development Services (DDS) - Solution Delivery",2020-01-05,0,16
"Sr. Consultant  -  Data Architecture (DDS)",2020-01-05,0,8
"Sr. Data Engineer  -  Data Architecture (DDS)",2020-01-05,0,8
"Sr. Data Scientist  -  Data Science (DDS)",2020-01-05,0,24
"Sr. Software Architect  -  Business Applications (DDS)",2020-01-05,0,16
"Sr. Software Developer  -  Business Applications (DDS)",2020-01-05,0,8
"Sr. Software Engineer  -  Business Applications (DDS)",2020-01-05,0,24
"Tableau Developer  -  Business Intelligence (DDS)",2020-01-05,0,8
"Technical Delivery Lead  -  Data & Development Services (DDS) - Solution Delivery",2020-01-05,0,8
"Technical Delivery Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-01-05,0,8
"Technical Writer  -  Business Applications (DDS)",2020-01-05,0,8
"Web Developer  -  Business Applications (DDS)",2020-01-05,0,16
"Associate BI Consultant  -  Business Intelligence (DDS)",2020-01-06,0,16
"Associate Consultant  -  Data & Development Services (DDS) - Solution Delivery",2020-01-06,0,8
"BI  Consultant  -  Business Intelligence (DDS)",2020-01-06,1,40
"Business Analyst  -  Business Applications (DDS)",2020-01-06,8,8
"Data Architect  -  Data Architecture (DDS)",2020-01-06,4,32
"Data Engineer  -  Data Architecture (DDS)",2020-01-06,21,88
"Data Science Team Lead  -  Data Science (DDS)",2020-01-06,4,8
"Data Scientist  -  Data Science (DDS)",2020-01-06,35,48
"Jr. Data Analyst  -  Data Science (DDS)",2020-01-06,6,8
"Jr. Data Scientist  -  Data Science (DDS)",2020-01-06,0,16
"Jr. Software Developer  -  Business Applications (DDS)",2020-01-06,8,8
"Jr. Software Engineer  -  Business Applications (DDS)",2020-01-06,8,8
"Jr. Web Developer  -  Business Applications (DDS)",2020-01-06,0,16
"Practice Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-01-06,0,8
"Project Coordinator  -  Data & Development Services (DDS) - Solution Delivery",2020-01-06,0,8
"QA Engineer  -  Business Applications (DDS)",2020-01-06,8,24
"Quality Engineer  -  Business Applications (DDS)",2020-01-06,0,16
"Senior BI Developer  -  Business Intelligence (DDS)",2020-01-06,8,8
"Senior DevOps Engineer  -  Business Applications (DDS)",2020-01-06,0,8
"Software Developer  -  Business Applications (DDS)",2020-01-06,0,32
"Software Engineer  -  Business Applications (DDS)",2020-01-06,8,24
"Sr. Consultant  -  Business Applications (DDS)",2020-01-06,0,8
"Sr. Consultant  -  Business Intelligence (DDS)",2020-01-06,0,8
"Sr. Consultant  -  Data & Development Services (DDS) - Solution Delivery",2020-01-06,0,16
"Sr. Consultant  -  Data Architecture (DDS)",2020-01-06,0,8
"Sr. Data Engineer  -  Data Architecture (DDS)",2020-01-06,0,8
"Sr. Data Scientist  -  Data Science (DDS)",2020-01-06,8,24
"Sr. Software Architect  -  Business Applications (DDS)",2020-01-06,6.5,16
"Sr. Software Developer  -  Business Applications (DDS)",2020-01-06,0,8
"Sr. Software Engineer  -  Business Applications (DDS)",2020-01-06,8,24
"Tableau Developer  -  Business Intelligence (DDS)",2020-01-06,4,8
"Technical Delivery Lead  -  Data & Development Services (DDS) - Solution Delivery",2020-01-06,0,8
"Technical Delivery Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-01-06,0,8
"Technical Writer  -  Business Applications (DDS)",2020-01-06,0,8
"Web Developer  -  Business Applications (DDS)",2020-01-06,0,16
"Associate BI Consultant  -  Business Intelligence (DDS)",2020-01-07,0,16
"Associate Consultant  -  Data & Development Services (DDS) - Solution Delivery",2020-01-07,0,8
"BI  Consultant  -  Business Intelligence (DDS)",2020-01-07,1,40
"Business Analyst  -  Business Applications (DDS)",2020-01-07,8,8
"Data Architect  -  Data Architecture (DDS)",2020-01-07,4,32
"Data Engineer  -  Data Architecture (DDS)",2020-01-07,21,88
"Data Science Team Lead  -  Data Science (DDS)",2020-01-07,4,8
"Data Scientist  -  Data Science (DDS)",2020-01-07,35,48
"Jr. Data Analyst  -  Data Science (DDS)",2020-01-07,6,8
"Jr. Data Scientist  -  Data Science (DDS)",2020-01-07,0,16
"Jr. Software Developer  -  Business Applications (DDS)",2020-01-07,8,8
"Jr. Software Engineer  -  Business Applications (DDS)",2020-01-07,8,8
"Jr. Web Developer  -  Business Applications (DDS)",2020-01-07,0,16
"Practice Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-01-07,0,8
"Project Coordinator  -  Data & Development Services (DDS) - Solution Delivery",2020-01-07,0,8
"QA Engineer  -  Business Applications (DDS)",2020-01-07,8,24
"Quality Engineer  -  Business Applications (DDS)",2020-01-07,0,16
"Senior BI Developer  -  Business Intelligence (DDS)",2020-01-07,8,8
"Senior DevOps Engineer  -  Business Applications (DDS)",2020-01-07,0,8
"Software Developer  -  Business Applications (DDS)",2020-01-07,0,32
"Software Engineer  -  Business Applications (DDS)",2020-01-07,8,24
"Sr. Consultant  -  Business Applications (DDS)",2020-01-07,0,8
"Sr. Consultant  -  Business Intelligence (DDS)",2020-01-07,0,8
"Sr. Consultant  -  Data & Development Services (DDS) - Solution Delivery",2020-01-07,0,16
"Sr. Consultant  -  Data Architecture (DDS)",2020-01-07,0,8
"Sr. Data Engineer  -  Data Architecture (DDS)",2020-01-07,0,8
"Sr. Data Scientist  -  Data Science (DDS)",2020-01-07,8,24
"Sr. Software Architect  -  Business Applications (DDS)",2020-01-07,6.5,16
"Sr. Software Developer  -  Business Applications (DDS)",2020-01-07,0,8
"Sr. Software Engineer  -  Business Applications (DDS)",2020-01-07,8,24
"Tableau Developer  -  Business Intelligence (DDS)",2020-01-07,4,8
"Technical Delivery Lead  -  Data & Development Services (DDS) - Solution Delivery",2020-01-07,0,8
"Technical Delivery Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-01-07,0,8
"Technical Writer  -  Business Applications (DDS)",2020-01-07,0,8
"Web Developer  -  Business Applications (DDS)",2020-01-07,0,16
"Associate BI Consultant  -  Business Intelligence (DDS)",2020-01-08,0,16
"Associate Consultant  -  Data & Development Services (DDS) - Solution Delivery",2020-01-08,0,8
"BI  Consultant  -  Business Intelligence (DDS)",2020-01-08,1,40
"Business Analyst  -  Business Applications (DDS)",2020-01-08,8,8
"Data Architect  -  Data Architecture (DDS)",2020-01-08,4,32
"Data Engineer  -  Data Architecture (DDS)",2020-01-08,21,88
"Data Science Team Lead  -  Data Science (DDS)",2020-01-08,4,8
"Data Scientist  -  Data Science (DDS)",2020-01-08,35,48
"Jr. Data Analyst  -  Data Science (DDS)",2020-01-08,6,8
"Jr. Data Scientist  -  Data Science (DDS)",2020-01-08,0,16
"Jr. Software Developer  -  Business Applications (DDS)",2020-01-08,8,8
"Jr. Software Engineer  -  Business Applications (DDS)",2020-01-08,8,8
"Jr. Web Developer  -  Business Applications (DDS)",2020-01-08,0,16
"Practice Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-01-08,0,8
"Project Coordinator  -  Data & Development Services (DDS) - Solution Delivery",2020-01-08,0,8
"QA Engineer  -  Business Applications (DDS)",2020-01-08,8,24
"Quality Engineer  -  Business Applications (DDS)",2020-01-08,0,16
"Senior BI Developer  -  Business Intelligence (DDS)",2020-01-08,8,8
"Senior DevOps Engineer  -  Business Applications (DDS)",2020-01-08,0,8
"Software Developer  -  Business Applications (DDS)",2020-01-08,0,32
"Software Engineer  -  Business Applications (DDS)",2020-01-08,8,24
